UAI;Nom_lycee;taux_de_reussite
0132280H;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE HENRY LEROY (A ABSORBE L'UAI 0133282X EN 2018);90
0190012K;LYCEE DANTON;77
0190012K;LYCEE DANTON;82
0190012K;LYCEE DANTON;75
9760370Y;LYCEE DES LUMIERES;77
9760370Y;LYCEE DES LUMIERES;63
9760370Y;LYCEE DES LUMIERES;95
9760370Y;LYCEE DES LUMIERES;76
0840113S;LYCEE DES METIERS ALEXANDRE DUMAS;71
0840113S;LYCEE DES METIERS ALEXANDRE DUMAS;86
0840113S;LYCEE DES METIERS ALEXANDRE DUMAS;87
0840113S;LYCEE DES METIERS ALEXANDRE DUMAS;80
0210032W;LYCEE DES METIERS DE LA CERAMIQUE HENRY MOISAND;67
0210032W;LYCEE DES METIERS DE LA CERAMIQUE HENRY MOISAND;100
0210032W;LYCEE DES METIERS DE LA CERAMIQUE HENRY MOISAND;92
9740472V;LYCEE DES METIERS DE LA MAINTENANCE PATU DE ROSEMONT;79
9740472V;LYCEE DES METIERS DE LA MAINTENANCE PATU DE ROSEMONT;80
9740472V;LYCEE DES METIERS DE LA MAINTENANCE PATU DE ROSEMONT;90
9740472V;LYCEE DES METIERS DE LA MAINTENANCE PATU DE ROSEMONT;77
