UAI;Nom_lycee;IPS_voie_pro
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;88,7
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;88,6
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;89,7
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;90,1
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;86,8
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;88
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;87,5
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;95,8
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;99,2
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;93,9
0940118T;LPO LOUIS ARMAND LYC MET TELECOMMUNICATIONS RESEAUX INFORMATIQUES ELECTRICITE ET SES APPLICATIONS CO;94,4
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;86,3
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;85,3
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;86,4
0671509B;LPO LYCEE DES METIERS ALPHONSE HEINRICH NESSEL;84,8
0931779D;LPO LYCEE DES METIERS DE L HORTICULTURE ET DU PAYSAGE;88,1
0931779D;LPO LYCEE DES METIERS DE L HORTICULTURE ET DU PAYSAGE;87,1
0931779D;LPO LYCEE DES METIERS DE L HORTICULTURE ET DU PAYSAGE;87
0931779D;LPO LYCEE DES METIERS DE L HORTICULTURE ET DU PAYSAGE;87,9
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;86,4
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;85,3
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;86,3
0671509B;LPO LYCEE DES METIERS HEINRICH NESSEL;84,8
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;110,4
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;108
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;108,7
0442094M;LPO NICOLAS APPERT LYC MET DE L HOTELLERIE RESTAURATION LYC MET DE L INGENIERIE INDUSTRIELLE;109,5
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;89,4
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;89,8
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;86,9
0391092A;LPO PAUL EMILE VICTOR LYCEE DES METIERS SANITAIRE ET SOCIAL;91,3
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;97,9
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;93,3
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;94,9
0720822C;LPO PRIVE SAINTE CATHERINE LYC MET DE L HOTELLERIE RESTAURATION ET DE LA BOULANGERIE PATISSERIE LYC ;97
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;91,1
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;88,3
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;89,6
0871030X;LPO PUBLIC JEAN MONNET LYC MET DE L HOTELLERIE RESTAURATION ET DE L ALIMENTATION;87,8
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;100,1
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;98,7
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;100,5
0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;97,4
9760316P;LPO TANI MALANDI;64,3
9760316P;LPO TANI MALANDI;63,6
9760316P;LPO TANI MALANDI;62,5
9760316P;LPO TANI MALANDI;63,5
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;93,4
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;91,6
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;93,9
0390027T;LPO VICTOR BERARD LYCEE DES METIERS DE L OPTIQUE ET DES MICROTECHNIQUES;90,1
0840016L;LPO VICTOR HUGO (A ABSORBE L'UAI 0840044S EN 2021);85,1
0132210G;LYCÃE POLYVALENT JEAN LURÃAT (A ABSORBE L'UAI 0132211H EN 2021);89,1
0132410Z;LYCÃE POLYVALENT MAURICE GENEVOIX (A ABSORBE L'UAI 0132319A EN 2021);83,6
573211,00 F;LYCEE ANDRE CITROEN LYCEE DES METIERS DE L AUTOMOBILE;82,3
